City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Buchanan,LR,80.35,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
2,Sao Filipe,CV,74.35,overcast clouds,14.8961,-24.4956,Hotel Xaguate
3,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Salalah,OM,87.6,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
13,Bitung,ID,79.65,broken clouds,1.4451,125.1824,K2 Lembeh
15,Esmeralda,CU,74.64,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
16,Surt,LY,79.3,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
17,Port Hedland,AU,73.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
19,Kavaratti,IN,83.35,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
21,Goderich,CA,71.92,few clouds,43.7501,-81.7165,Harmony Inn
27,Semme,FR,82.81,clear sky,46.1963,1.5007,Inter-Hotel Alexia
28,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
31,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
32,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Labytnangi,RU,71.87,scattered clouds,66.6572,66.4183,Priuralye Hotel
35,San Patricio,US,83.84,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Rikitea,PF,72.95,few clouds,-23.1203,-134.9692,People ThankYou
42,Bud,US,77.05,clear sky,39.447,-86.1758,Ted McQuinn Trust
45,Vila Franca Do Campo,PT,70.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
53,Sabang,ID,81.66,overcast clouds,5.8933,95.3214,Hotel Citra
59,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
63,Faanui,PF,80.74,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
64,Daru,PG,79.23,broken clouds,-9.0763,143.2092,Daru Lodge
65,Hithadhoo,MV,82.81,scattered clouds,-0.6,73.0833,Scoop Guest House
66,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
67,Takoradi,GH,80.35,light rain,4.8845,-1.7554,Raybow International Hotel
71,Pochutla,MX,74.01,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
76,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
78,Menongue,AO,81.01,few clouds,-14.6585,17.691,Ritz Lauca
79,Ugoofaaru,MV,83.46,broken clouds,5.6667,73.0,Ungoofaaru Inn
86,Kloulklubed,PW,83.73,broken clouds,7.0419,134.2556,Storyboard Beach Resort
88,Lorengau,PG,81.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
89,Hamilton,US,78.84,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
92,Alexandria,EG,80.56,clear sky,31.2156,29.9553,Royal Crown Hotel
93,Isangel,VU,76.51,broken clouds,-19.55,169.2667,Tanna Lodge
96,Butaritari,KI,82.33,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
99,Ranau,MY,71.37,overcast clouds,5.9538,116.6641,The Second Room
100,Ponta Do Sol,PT,72.23,scattered clouds,32.6667,-17.1,Hotel do Campo
102,Buala,SB,80.29,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
110,Newala,TZ,83.8,clear sky,-10.9431,39.2787,Mnyeu Newala
112,Bengkulu,ID,79.32,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
114,Victoria,HK,84.38,heavy intensity rain,22.2855,114.1577,Mini Central
