CityID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Feels like temp,Date
0,Buchanan,LR,5.8808,-10.0467,80.35,79,99,11.23,light rain,84.83,2022-06-15 10:56:17
1,East London,ZA,-33.0153,27.9116,61.74,44,0,31.07,clear sky,59.68,2022-06-15 10:50:51
2,Sao Filipe,CV,14.8961,-24.4956,74.35,82,94,8.21,overcast clouds,75.34,2022-06-15 10:49:34
3,Vaini,TO,-21.2,-175.2,71.76,94,75,4.61,broken clouds,73.06,2022-06-15 10:49:36
4,Albany,US,42.6001,-73.9662,61.3,87,17,2.53,few clouds,57.76,2022-06-15 10:46:39
5,Chuy,UY,-33.6971,-53.4616,47.84,90,2,3.02,clear sky,47.21,2022-06-15 10:51:09
6,Castro,BR,-24.7911,-50.0119,47.07,92,95,2.35,overcast clouds,47.07,2022-06-15 10:53:10
7,Grindavik,IS,63.8424,-22.4338,51.75,76,75,17.27,broken clouds,48.79,2022-06-15 10:52:07
8,Hobart,AU,-42.8794,147.3294,47.26,96,75,5.75,moderate rain,44.28,2022-06-15 10:45:02
9,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,10.36,clear sky,34.86,2022-06-15 10:50:50
10,Nanortalik,GL,60.1432,-45.2371,39.25,85,100,6.33,overcast clouds,34.65,2022-06-15 10:49:40
11,Hermanus,ZA,-34.4187,19.2345,57.79,55,28,4.43,scattered clouds,55.85,2022-06-15 10:49:39
12,Salalah,OM,17.0151,54.0924,87.6,66,55,13.27,broken clouds,97.11,2022-06-15 10:50:53
13,Bitung,ID,1.4451,125.1824,79.65,82,78,7.07,broken clouds,79.65,2022-06-15 10:57:47
14,Beringovskiy,RU,63.05,179.3167,37.62,91,90,5.5,overcast clouds,33.28,2022-06-15 10:57:47
15,Esmeralda,CU,21.8525,-78.1169,74.64,85,1,5.68,clear sky,75.79,2022-06-15 10:57:47
16,Surt,LY,31.2089,16.5887,79.3,53,0,10.56,clear sky,79.3,2022-06-15 10:55:06
17,Port Hedland,AU,-20.3167,118.5667,73.45,68,25,8.05,scattered clouds,73.69,2022-06-15 10:57:48
18,Madera,US,37.1666,-119.8343,69.24,33,0,3.8,clear sky,62.29,2022-06-15 10:57:48
19,Kavaratti,IN,10.5669,72.642,83.35,75,100,22.08,light rain,90.61,2022-06-15 10:57:49
20,Bethel,US,41.3712,-73.414,67.66,93,35,3.91,scattered clouds,61.23,2022-06-15 10:54:30
21,Goderich,CA,43.7501,-81.7165,71.92,53,23,10.36,few clouds,71.31,2022-06-15 10:57:49
22,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,47.34,91,0,5.84,clear sky,44.58,2022-06-15 10:57:49
23,Vilyuysk,RU,63.7553,121.6247,67.69,57,97,9.57,overcast clouds,66.85,2022-06-15 10:57:50
24,Ushuaia,AR,-54.8,-68.3,40.66,70,75,8.05,broken clouds,35.37,2022-06-15 10:49:10
25,Isiro,CD,2.7739,27.616,90.01,38,100,2.93,overcast clouds,90.05,2022-06-15 10:57:50
26,Iqaluit,CA,63.7506,-68.5145,40.73,93,75,2.3,broken clouds,40.69,2022-06-15 10:50:51
27,Semme,FR,46.1963,1.5007,82.81,31,5,9.35,clear sky,81.16,2022-06-15 10:57:51
28,Souillac,MU,-20.5167,57.5167,73.78,88,75,10.36,light rain,74.98,2022-06-15 10:54:25
29,Deputatskiy,RU,69.3,139.9,62.98,34,38,12.26,scattered clouds,60.57,2022-06-15 10:57:51
30,Chokurdakh,RU,70.6333,147.9167,70.11,27,59,15.48,broken clouds,68.09,2022-06-15 10:57:51
31,Saint-Philippe,RE,-21.3585,55.7679,78.39,77,34,14.45,light rain,79.54,2022-06-15 10:49:38
32,Kapaa,US,22.0752,-159.319,78.78,97,75,11.5,broken clouds,74.5,2022-06-15 10:50:48
33,Labytnangi,RU,66.6572,66.4183,71.87,30,31,14.07,scattered clouds,70.16,2022-06-15 10:57:52
34,Guasdualito,VE,7.2424,-70.7324,68.47,89,100,2.21,overcast clouds,69.21,2022-06-15 10:57:52
35,San Patricio,US,28.017,-97.5169,83.84,83,100,12.17,overcast clouds,86.43,2022-06-15 10:57:52
36,Rikitea,PF,-23.1203,-134.9692,72.95,69,20,6.17,few clouds,73.18,2022-06-15 10:49:29
37,Carnarvon,AU,-24.8667,113.6333,68.83,89,100,6.91,overcast clouds,69.6,2022-06-15 10:50:47
38,Aksu,CN,41.1231,80.2644,97.41,7,31,3.24,scattered clouds,92.16,2022-06-15 10:53:19
39,Longyearbyen,SJ,78.2186,15.6401,40.84,70,75,13.8,broken clouds,33.28,2022-06-15 10:57:08
